class,id,text,text_length,words_per_sentence,sentiment,polarity,subjectivity,aspects
0,39,oh theyre trained deal irate exhusbands stabbing wife dousing gasoline broad daylight middle busy parking lot theyre trained deal specific kind every single day,160,24,0.013010204,0.013010204,0.378826531,[]
0,40,lot black killed hanging rope vendor,36,6,-0.183333333,-0.183333333,0.216666667,['rope']
0,41,instead place faith mythology nomadic herdsman much logical believe knowing unknowable magic poofed everything existance created evidence make appear didnt,155,20,0.375,0.375,0.625,[]
0,42,gun nut say f child decide saving gun childrens life,52,10,0.0,0.0,0.0,[]
0,43,well whatever case may baby ha full function nervous system feel pain whenever aborted doe disturb people always tend think oh mother going go pain bla bla bla baby tortured death cmon,184,32,0.35,0.35,0.55,['mother']
0,44,fact remains britain still four time dangerous america term crime rate arguing crime level acceptable youre alright many people helpless victim unable anything,159,23,-0.16875,-0.16875,0.4875,['britain']
0,45,nonsense name hole part conjecture part conjecture never ever taught high school biology class isnt time major point covered doubt,130,20,0.11125,0.11125,0.52,[]
0,46,everyone know marc wa right alongthat atheist science conspiracy,64,9,0.285714286,0.285714286,0.535714286,['marc']
0,47,well ive personally measured gravitational pull ball lead cm diameter suggesting angel push planet around wa leading theory newton,130,19,0.0,0.0,0.3,[]
0,48,creationists informed far tell seems position informed creationists neodarwinists fully accepting theory evolution,114,13,0.1,0.1,1.0,['evolution']
0,49,oh business owner dont make real contribution society,53,8,0.2,0.2,0.3,['business']
0,50,truly amazing even someone like kh disprove evolution quickly,61,9,0.466666667,0.466666667,0.7,['evolution']
0,51,still choose believe someone victim crime punished committed crime,66,9,-0.075,-0.075,0.05,[]
0,52,many natural disaster tornado destructive flood severe drought probably something global warmingi dont know first regarding combination maybe flood caused due global warming maybe reversethese phenomenon related cant seperated think itmaybe global warming big threat many disadvantage resulting threat u,303,40,0.056818182,0.056818182,0.291666667,['flood']
0,53,biologically speaking fetus human mother person simply sustaining via blood like via mother milk birth legally starve newborn child suitable nourishment available simply ha right bodyi think law,194,28,0.239285714,0.239285714,0.39047619,['nourishment']
0,54,yet present opinion without supporting fact,43,6,0.125,0.125,0.125,['opinion']
0,55,im sure racist white segregationist plessey thought exactly settle matterlittle louise brown big surprise themyou still walked upon thin ice well regulated wording note,168,24,0.07,0.07,0.417777778,['louise']
0,56,oh dont kid people miserable long got darwinists arrogance astounding,69,10,-0.15,-0.15,0.8,['arrogance']
0,57,exactly people would incorporate childhood often steeeeve cant seem wrap mind around,84,12,0.25,0.25,0.25,[]
0,58,actually everything bible say belies atheist answer reality world god creation speaks existence self evident take degree faith accept jesus personal savior far accepting reality god one need look observe world live see incredible loving god could create beautiful marvelous world many amazing symbiotic perfectly interdependent form life,337,48,0.49469697,0.49469697,0.7,['jesus']
0,59,actually dont know quite valid answer sciencehowever slip false construct belief known scope science youve also denied saying believe pastquotemontalbanis rational statement prove rationally science,198,25,-0.2,-0.2,0.35,[]
0,60,well let honest people fear gay marriage might come via judicial fiat thats current whipping horse thats happened first broad value judicial fiat course wa recent post right granted gay state legislature oregon think group jumped forced law hold via petition drive really isnt mean gay get equality upset folk equality judicial fiat phrase people use avoid stating true motif preventing gay treated equal,404,64,0.186825397,0.186825397,0.47015873,[]
0,61,yes doe determining age question answered evolution,51,7,0.0,0.0,0.0,[]
0,62,trying sayscience knowledge knowledge anything find true truth wed omniscient,77,10,0.35,0.35,0.65,[]
0,63,zsu learned comrade star gazer gw created continental army sure gentleman equally illogical inaccurate fact scatter around barnyard emoticonxhoho,145,19,0.25,0.25,0.569444444,['fact']
0,64,yes founding father realized government wa serve people governed set rule limited government would run wild england made bill right constitution would limit government keep becoming powerful overstepping bound way constitution could actually enforced wa population uphold itback time writing probably saw best way population force government step bound wa force er forcetoday information age much better weapon right vote sweeping change implemented use force using system,472,67,0.316666667,0.316666667,0.484920635,[]
0,65,several scientific explanation nature earth use science say world flat granted belief arent widely accepted religion widely accepted reasoning logic must ask whether rely science many different scientific theoriesthe flat earth news least back regular column one hundred proof earth globego theory taught sciencephrenologyalchemyevolutioneugenicsneptunismtheories aether article relating emergence scientific theory cosmic aether metascience science used support political endswhat marxist science chaos theory marxism nazi science science social endsscientific racism scientist instead using word heretic use word pseudoscience categorise fringe belief,653,80,-0.001388889,-0.001388889,0.232799145,[]
0,66,none fishersci link would take get look fibre optic system try later,68,12,0.0,0.0,0.0,[]
0,67,actually reported real result study regular church attendee twice likely vote republicanetc conclusion wa however meant joke got didnt emoticonxrolleyes,152,20,0.05,0.05,0.369230769,[]
0,68,mean must ha beginning dont,27,5,-0.3125,-0.3125,0.6875,[]
0,69,im sorry entire rant nothing ignorance based fear mongering article,67,10,-0.25,-0.25,0.8125,[]
0,70,actually im sure manhood even though knew charge would levelled still posted anyway anyway feel men need degraded make past action woman gone righteous bitter,158,25,0.0625,0.0625,0.434722222,['woman']
0,71,know evolution happens would problem would find process made evolution happen incredible rate isnt evidence happen fast,119,17,0.55,0.55,0.75,[]
0,72,really different number step definition macroevoution speciation brand new genus observed speciation new specie happened,120,15,0.090909091,0.090909091,0.503030303,[]
0,73,logical truth come somewhere question make much sense time mooseyou appear read post variously repeating said addressing thing say,130,19,0.15,0.15,0.316666667,[]
0,74,really consider gun law uk changed prevent incident like cumbria ever happening,79,12,0.2,0.2,0.2,['gun']
0,75,youre saying believe absolutely everything church belief support everything doe moment anything oustide youd leave right,120,16,0.242857143,0.242857143,0.717857143,['church']
0,76,perhaps analogy let say sake argument smoke drink personally whatever reason however believe others right drink smoke choose personally drinking smoking prochoice regard meaning believe every person make determination themselvesprolife would dont drink smoke morally perhaps going make sure one else able either,311,43,0.214285714,0.214285714,0.483267196,[]
0,77,quite frankly dont know squat stop trying pretend doi gone record say think christianity doe lot good worldi even tried correct matthew antichristian tirade gave realizing would good emoticonxfrazzled hate break world typically function people putting negative newsyou hear joe xxxx broke lawdo ever hear johnny atlas keep lawemoticonxfrazzled,343,49,0.026666667,0.026666667,0.6,['johnny atlas']
0,78,think human pinnacle processing power reason brain entire universe aside god,76,11,0.0,0.0,0.3625,[]
0,79,thats true actually doesnt make sense science bunch rule definition biology us science study life true physic us science study physical world true science purpose study life true,178,28,0.233333333,0.233333333,0.473809524,[]
0,80,genesis history lesson combination story religious message allegory format bothered learn understand hebrew pun behind many word also see political commentary event happening time wa written would obvious,204,28,0.02,0.02,0.41,[]
0,81,actually proven whether leprechaun unicorn flying spaghetti monster magical space monkey livining care baers even god exists notthe question proving belief seems kinda selfcontradictory something fact proven belief irrelevant likewise believe something whether fact support still belief people believe thing inn absence supporting fact sometimes even face opposing fact term faithfaith belief something absence evidence faith something proof irrelevant least,458,60,-0.069444444,-0.069444444,0.416666667,['god']
0,82,im sure saying saying think theropod dinosaur feather sinornithosaurus doe first claim entire forelimb would useless shown wa claim feather could existed would useless shown fossil show feather surprised morei suspect feather creature apparent fossil enough show feathered dinosaur fact exist argument whether possible creature existed moot irrelevant feel limb would useless obviously notso return original confused erroneous argument,435,59,-0.108333333,-0.108333333,0.583148148,[]
0,83,declaration independence constitutioni go one better admendment talk certain right retained peopleamendment ixthe enumeration constitution certain right shall construed deny disparage others retained people amendment xthe power delegated united state constitution prohibited state reserved state respectively peoplethe conservative would argue offering sex marriage persute happiness denied gay people even existing look u,422,52,0.327083333,0.327083333,0.449702381,[]
0,84,right certainly explains many many version christianity,55,7,0.375,0.375,0.526785714,['christianity']
0,85,claim belief biblical god god right wrong known completely stupid ever hear humanism even chimp sense treated rightly wrongly even chimp seen others would want done themedit excuse double checked wa wrong thats bad news creationisteven capuchin monkey related human chimp sense whether treated fairly take one step farther adding mix closely social bond participant chimp complex sense fairness capuchin monkey,410,61,-0.162063492,-0.162063492,0.454603175,[]
0,86,leaving aside moment false construct youre arguing read upthe pseudoproblem creation physical cosmology adolf grnbaum bondi see steadystate theory propounded thomas gold brings problem creation within scope physical inquiry ibidalthough theory deemed defunct one assumption thing outside scope science flawed,308,40,-0.18,-0.18,0.287142857,[]
0,87,really thats fallacy exclusion middle two choice one wrong somehow therefore correct problem isnt two choice sure besides science wrong time doesnt prove creation right fact instance science estaimtes moon dust proven wildly wrong correction actually harm creation,264,38,-0.064285714,-0.064285714,0.553075397,[]
0,88,doesnt help much calculating length day actual astronomical observation perhaps told freeofthought current rate slowing earth secyearyear doubt freeofthought misunderstand number rate assume rate ha unchanging even though hasnt beena lot creationists misunderstanding come remark like following,294,37,0.05,0.05,0.2,[]
0,89,way see experience let reader decide,36,6,0.0,0.0,0.0,[]
0,90,interesting thing quality life ethic prochoice framework mean cant degrade anyones quality life without permission far entailing cull elderly infirm handicapped ugly quality life ethic entail kill person entitled quality life desire desire doe infringe others quality life,272,38,-0.103125,-0.103125,0.796875,[]
0,91,know one aspect story one ever seems focus refuting flood think excellent extra point refutation whole ridiculous story,119,18,0.216666667,0.216666667,0.625,[]
0,92,soi look cloud see cow cloud arent telling steak,48,9,-0.133333333,-0.133333333,0.166666667,['steak']
0,93,right real man support love thick thin doesnt try control thing cant eitherin end man decision body therefore ha right make ultimate decision express view thats im pretty sure easier decide cudos men,199,33,0.146825397,0.146825397,0.687257496,[]
0,94,approximate really depends upon day start counting menses,57,8,-0.1,-0.1,0.4,['approximate']
0,95,actually archie wa neither left right went democrat republican took center tone entire issue hand portraying reality suffering hometown due job leaving u greed wall street,171,26,0.010119048,0.010119048,0.289285714,['archie']
0,96,first post qualify stating assert reproduction absolute requirement life ontogeny individual course reproduction essential character life,137,16,0.1125,0.1125,0.483333333,['reproduction']
0,97,let explain youyou want stop abortion someone else want take woman right choose away jito supporting woman right choose doe impose upon life wayyou want stop able marry doe effect life way yet ha devastationg effect life left support right side want limit right othersyou want stop able marry religious belief even though may religious belief support therefore imposing religious moral view share belief,403,64,0.199404762,0.199404762,0.386904762,['abortion']
0,98,think weve got draw line point demarcate adult child ever draw seem situation arbitrary made question would year old year society ha determined people attained enough life experience form intent comprehend action consequence least applies death penalty tried adult wo death dont execute people cant comprehend nature crime society say cant fully comprehend criminal action,372,55,-0.033333333,-0.033333333,0.338888889,[]
0,99,since know evolution ha doe take place catch side dont believe scientific explanation origin life beginning intelligent awareness,129,18,0.8,0.8,0.9,[]
0,100,police military civilian unless paid dod come geneva convention civilian period paid attention know standing army fighting current war oath taking militiacivilians state national guard reserve force taken oath many u protect constitution enemy domestic foreign say people militia eithercan name one successful government ha ever guerrilla war russia fought afghanistan long limped back home,390,55,0.121875,0.121875,0.321875,['russia']
0,101,crime ha dropped significantly new york los angeles recent year,63,10,0.068181818,0.068181818,0.352272727,['crime']
0,102,since issued military would think,33,5,-0.1,-0.1,0.1,['military']
0,103,intitled opinion statement ironic seems others also suffer pot kettleism dont realize,85,12,0.2,0.2,0.9,['pot']
0,104,stating wa example wa stating wa example reasoning know person people disagree whether theory could use bit explanation,119,18,0.0,0.0,0.0,[]
0,105,oh never mind condition would toxicnot mention ice core support magical idea,76,12,0.5,0.5,1.0,[]
0,106,right drive one doe driving right state doe owe give license drive activity driving priveldge granted state rightrights regulated government earthly authority take away state never gave right already ask permission exercise,223,32,0.285714286,0.285714286,0.535714286,[]
0,107,plenty people smoke dont develop lung cancer youre cherry picking,65,10,0.0,0.0,0.0,[]
0,108,statement isnt logicalit doe follow person creates law ha therefore follow cant change themor even apply teacher say talking classroom doesnt apply teacher doe,159,24,0.0,0.0,0.0,[]
0,109,adding firearm going theyre already criminal thats hard fact life cant ever changed deal want intended victim equal footing bad guy nothing unreasonable,152,23,-0.293333333,-0.293333333,0.411666667,['firearm']
0,110,many gun hating crowd also gun elitism belief theyre superior human thus deserve armed everyone else world unarmed bow theyre god,129,21,0.4,0.4,0.5,[]
0,111,im glad made correlation toe substitute case,44,7,0.5,0.5,1.0,[]
0,112,ignored third option denier right good third option one atheist secular humanist refuse consider god spoke star creation time genesis say spoke everything existence day time genesis declares dishonest deceptive position extrapolate info god deceptive like saying reject gospel jesus accurately honestly share lying gospel rejected irrational dishonest reasoning possible yet defines way mind work emoticonxdonno,411,56,0.123214286,0.123214286,0.504464286,['god']
0,113,essentially good thing religion pose question may may completely meaningless invents happymaking answer satisfy curiosity thus engendered wow thats much profound eradicating smallpox,182,23,0.095833333,0.095833333,0.9,['smallpox']
0,114,think fall tall cliff ill die doe mean gravity science either evil incorrect,76,13,-0.604166667,-0.604166667,0.895833333,[]
0,115,country country world going hell hand basket plea emoticonxfrazzled,67,9,0.0,0.0,0.0,"['world', 'emoticonxfrazzled']"
0,116,universe right murderunfortunately united state recently recognized abusing child owning slave rightand recently woman enjoyed right vote united stateswhat certain activity forbidden publicsome conservative red state recently decreed speek limit safety reason courseand george walker bush ha guaranteed right corporation dump dangerous chemical lake river ocean,361,46,0.097142857,0.097142857,0.452857143,['george walker bush']
0,117,statistically school massacre someone concealed carry permit short nonexistent fact still doesnt mean thing,107,14,-0.15625,-0.15625,0.49375,[]
0,118,justifiably dont see problem problem proposed revision typical yec banter evolution theory without making clear theory teach side question thats code teaching creation theory id doe mean geography class teacher present flat earth reasonable alternative earth center universe teaching well supported theory agreement mainstream id creationism arent,347,47,-0.043452381,-0.043452381,0.342261905,[]
0,119,book review better world secret history forced sterilization america quest racial purity harry bruinius teddy roosevelt winston churchill rockefeller foundation million american state indiana embraced concept eugenicsinteresting yes,232,28,-0.05,-0.05,0.35,[]
0,120,truly believe think need reread post put shoe receiving end,59,10,0.0,0.0,0.0,[]
0,121,depends cell mean mammalian red blood cell example entire nucleus mitochondrion removed much smidgeon dna,105,15,-0.028125,-0.028125,0.378125,"['nucleus', 'dna']"
0,122,wouldnt nice knew enough differentiate theory evidence definitionquoteha however gene losing glitterquotei wasnt aware glittered talking,136,16,0.283333333,0.283333333,0.583333333,[]
0,123,got tube tied woman right getting shredded debate abortion fewer fewer woman going want even risk sex men itll cause wave abstinence imprisonment cut succesive generation half thatll even errode solvancy social security would one get tube tied swearing men emoticonxconfused really believe rest load imprisonment solvancy erosion emoticonxrolleyes,347,49,0.088095238,0.088095238,0.242261905,[]
0,124,atheist belief human highest form intelligence devout christian belief god highest form intelligence christian allow atheist force behave human highest form intelligence,169,22,0.0,0.0,0.05,[]
0,125,well worth police prefer use ar carbine mp mm either mossberg remington ga serving noknock warrant house wrong house next door middle night ak may bit much home use would way overpenetrate wall hit neighbor house neighbor hope helped,233,39,0.0,0.0,0.24,['mossberg']
0,126,think posted awhile ago huge b thats like saying civil right hurt black even though abortion may unwated side affect near emotional physical pain suffering rest life forced pregnancy go show prolife movement desperate,217,34,-0.035119048,-0.035119048,0.532738095,[]
0,127,support choice abort fetus embryo argument made slavery wa dont dont tell u doa fairly similar argument doesnt show whether abortion wrong line thinking questioned,163,25,-0.25,-0.25,0.65,[]
0,128,know something wrong world people start calling embryo nonsentient life form victim referring martin luther king jr justify view seems today anyone show decency slight intelligence common sense labeled radical leftist man republican getting desperate see trying equate embryo men using mlk,289,42,-0.281944444,-0.281944444,0.536111111,['martin luther']
0,129,doesnt genesis imply creation occured one day period though day could symbollic,79,12,0.0,0.0,0.0,['creation']
0,130,think free society work better saying least certain variety give customer choice product business restriction private citizen,125,17,0.162857143,0.162857143,0.529285714,[]
0,131,well think god must bit confused since also saysnow therefore kill every male among little one kill every woman hath known man lying woman child known man lying keep alive number doesnt seem mind least retroactive abortion,222,37,-0.1575,-0.1575,0.42,['god']
0,132,master baiter like present thesis taken seriously havent arent,62,9,-0.166666667,-0.166666667,0.333333333,['thesis']
0,133,point claiming tenet christianity doubt several thousand denomination hold contradictory view science proceeds challenge contradiction contradiction science evidence doubt evidence field advance religion without question matter veracity ultimate truth thousand christian faith hold truth,287,34,0.0,0.0,0.333333333,[]
0,134,first define government funded fbi cia federal law enforcement agency military vital government entity armed fact government around world killed citizen disarming doe mean armed mean citizen disarmed think country would become last year without armed government,261,37,-0.082142857,-0.082142857,0.325,[]
0,135,point however fetal lung mature enough survive outside womb even mechanical assistance unless technology pretty radically different future isnt getting surviving,161,21,0.058333333,0.058333333,0.395833333,['lung']
0,136,neither suggesting illegality make something immoral legality morality completely separate thing,96,11,0.1,0.1,0.4,[]
0,137,actually slipped talking bible seem refering miracle lazarus,60,8,0.0,0.0,0.1,['bible']
0,138,believe would know post sarcasm,31,5,0.0,0.0,0.0,['sarcasm']
0,139,ill take question one time thread,33,6,-0.5,-0.5,1.0,['question']
0,140,ashame everyone keep looking judiciary legislature work people press congress take abortion job congress address issue desired constituent,138,18,0.0,0.0,0.0,[]
0,141,still havent learned google yankee fanhowstuffworks artificial lifeartificial life likely year science redorbitand relying entirely insult good way gaining credibility didnt work livewire wont work,197,25,0.025,0.025,0.80625,['google']
0,142,declaration independence thomas jefferson identifies right life fundamental freedom guncontrol save life guncontrol mean freedom arent progunners interested freedom,164,19,0.074404762,0.074404762,0.574404762,['thomas jefferson']
0,143,well genesis wa fact true would assume god real bible le explains want right someone damn eternal torment dont want one interpretation bible might effect way act realize isnt exactly changing moral compass history ha demonstrated people moral stretch accomodate pressing need think actual vengeful diety would qualify,317,48,0.155102041,0.155102041,0.333673469,['bible']
0,144,doesnt explain manslaughter like miscarriage rather differentand clerisian didnt seem arguing two distinct rather appeared say prolifers support charging mother miscarried manslaughter mother action say drinking heavily cause death,231,29,0.066666667,0.066666667,0.3,['drinking']
0,145,understands natural selection belives go accepted scientist,59,7,0.1,0.1,0.4,[]
0,146,agreew principle however see many flaw justice system make useful point,71,11,0.4,0.4,0.25,[]
0,147,isnt wa incident state last year elderly woman beaten raped several day later rapist came back killed spot wasnt brought court face trial even know killed someonethat something like handled,189,30,-0.066666667,-0.066666667,0.011111111,[]
0,148,aside admire way word bravo,27,5,0.0,0.0,0.0,['bravo']
0,149,reveal prediliction reading want see word others described materialism embracing new force phenomenon withstood rigor scientific method explicitly described science methodology philosophy wrong ww longer pretend otherwise time youre going waste strawman chance im going get make argument look silly argue argue person want,322,44,-0.265909091,-0.265909091,0.557386364,[]
0,150,actually easily relate vor argues emotion fact evidence proof emotion,69,10,0.433333333,0.433333333,0.833333333,[]
0,151,well quit trolling start debunking b providing link case solved gun registry place,82,13,0.0,0.0,0.0,['trolling']
0,152,website say working unity machine know perpetual motion,55,8,0.0,0.0,0.0,['perpetual']
0,153,actually benefit stable safe loving home chilren important society deny gay lesbian indeed able provide flat lie directed aap report gay parenting would suggest actually read,174,26,0.312037037,0.312037037,0.507407407,[]
0,154,think aware abortion terrible thing noone denying contrary people might think nothing anyone could say make woman undergoing abortion feel worse like traumatic situation sometimes might need talk someone make sure head right place yes abortion clinic provide counseling far know provide referral organization contrary people might think employee clinic part caring compassionate people,385,54,-0.044047619,-0.044047619,0.712433862,[]
0,155,making sure everybody aware evasion misrepresentation dishonesty figured good time would wa accusing scientist thing figure damn good illustration paper author tell stop misrepresenting paper keep anywayin fairness creationist isnt necessarily indicator dishonesty plenty creationists creationists simply uneducated subject unfortunately supersport isnt part group ha seen evidence willfully ignorant,400,49,0.185416667,0.185416667,0.628670635,[]
0,156,dont see debate abortion true become mildly le concrete thats happens try get right,83,14,0.261904762,0.261904762,0.495238095,['abortion']
0,157,sorry inform year old country granted full protection right constitution united state dont agree testing either saying violates right valid argument,148,21,0.104285714,0.104285714,0.564285714,[]
0,158,well devil moaning like browning shot king actually made rifle wa used anything like hell wasnt even rifle made browning companytheres absolutely connection two bitching,169,25,0.1,0.1,0.5,[]
0,159,wont id think responsible parent teen age ha sound relationship teen would discus possibility becoming sexually active normal function spite puritan attitude offer simple avoidance possible pregnancy abortion like vehicle insurance may never need going without either one plain stupid,284,40,0.004761905,0.004761905,0.524025974,[]
0,160,peeling would proved wa possible evolve human hasnt one creature earth ever evolved level sophistication alleged billion year attain level evolution evo real seems right touch specie equally specie werent forced extinction survived overcame pressure faced ended similar evolved place man ha attained billion yearsunless course science evolution humanistic justification explain origin ha basis fact ever claim belief,416,58,0.010714286,0.010714286,0.360714286,[]
0,161,offer positive evidence towards creationism deny idea creationism scientific wa destroyed long ago,98,13,0.088636364,0.088636364,0.472727273,[]
0,162,care number assumption care whether idea correct determine whether correct data counting assumption,99,13,0.0,0.0,0.0,['assumption']
0,163,dont live environment event likely one time several specie hominini living time evolution bushlike ladder like happens specie remains,133,19,0.045454545,0.045454545,0.5,[]
0,164,doesnt example one part theory evolution work effect change population,70,10,0.0,0.0,0.0,[]
0,165,max ha outed hillbilly spell incorporate correct punctuationi wonder effect ability know evidence apparently since belief man evolvedattacking lol ray,150,20,0.425,0.425,0.525,[]
0,166,god get terrible thing get free pas godkinda funny happens show archie bible doesnt even support belief isnt guysi still like fact bible say count child one month age person yet archie expects u count zygote human life,218,38,-0.0875,-0.0875,0.725,['bible']
0,167,least real intent wa throw bone people pretending family value religious right conservative lot,95,14,0.046428571,0.046428571,0.371428571,[]
0,168,dont see hard accept lied lost award lost job data,50,10,-0.291666667,-0.291666667,0.541666667,['award']
0,169,really human determined scientifically personhood human legal construct prove scientifically person,99,11,0.066666667,0.066666667,0.133333333,[]
0,170,child born poverty stricken part world expected die age either disease lack food spare pain abort,97,16,-0.1,-0.1,0.4,['food']
0,171,source findlaw case codesmost comment follow form dishonesty ie misrepresentation strawman argument flat lie pretending understand aware rebuttal unfavorable evidence poor logic spin rhetoric talking point analogy,213,27,-0.058333333,-0.058333333,0.325,[]
0,172,curious beyond make post includes common sense logic im thinking since post seem based rhetoric emotion three paragraph contain falsehood lie congrats batting,158,23,-0.2,-0.2,0.75,[]
0,173,today wa driving son two teammate basketball practice one kid used word gay derogatory manner asked son said ya dad gay teasing name calling curious question back basketballmy son ha also thrown floor bus force fed garbage asking kid use word gay derogatory mannerdo really think solution prevent gay people forming family mean kid free reign little ass maybe fact kid ha gay parent isnt real issuei would also like point argument fails address thousand gay parent biological child,481,79,0.157142857,0.157142857,0.520535714,[]
0,174,point considered want produce solid argument series event actually occured past wish others take seriously please produce relevant evidence source held higher level credibility standard make thread based national enquirer star kerrys life male gigolo golddigger,261,36,0.008333333,0.008333333,0.327083333,[]
0,175,would learned youre going use analogy let say last thing remembers walking bar would learn experienced,102,16,0.4,0.4,0.483333333,['bar']
0,176,actually dont deal spanish french dont speak english emoticonxrolleyes,70,9,0.0,0.0,0.025,['french']
0,177,actually didnt first record melanic form wa presumably melanic individual appeared biston bebularia well moth know similar mutation occucrred moth north america year record b betualriathere actually several allele gene responsible color form dominence hierarchy fully black morph called carbonaria top dominant typical recessive intermediate form referred insularia uncommon rate observed b betularia industrialized area carbonaria,431,56,0.141666667,0.141666667,0.421666667,['color']
0,178,listen forgotten ever learn real true world either back insult fact get lost becoming painfully obvious attempting reason exercise futility kind like trying travel point point b merrygoround,190,28,0.315,0.315,0.645,[]
0,179,actually dont faith science good science demand test repeatedly vast majority religion demand accept without question,117,16,0.233333333,0.233333333,0.566666667,[]
0,180,paid attention batfe said yes people dont want close border prefer border control,81,13,0.0,0.0,0.0,[]
0,181,yes homo habilus wa monkey ive telling people year,50,9,-0.05,-0.05,0.0,['monkey']
0,182,amendment part constitution,27,3,0.0,0.0,0.0,"['amendment', 'constitution']"
0,183,hope fun carrying pistol post office lobby,42,7,0.3,0.3,0.2,['lobby']
0,184,given hold opinion would challenge show stated,46,7,0.0,0.0,0.0,['show']
