class,id,text,text_length,words_per_sentence,sentiment,polarity,subjectivity,aspects
0,23,quaint illogic people marry get divorced reduction people marrying ha effect rising divorce rate anything rising divorce rate among fewer marriage point even higher divorce rate normal,184,27.0,0.2,0.2,0.575,['divorce']
0,24,agree part get tank helicopter though big easy target tyrannical regime see iraqi afghani using tank helicopter im sure could get really wanted theyre useless government invests satellite technology bomber better stick rocket launcher mine,239,35.0,0.1888888888888888,0.1888888888888888,0.4537037037037037,[]
0,25,really totally knowable show site ha mach usermanual know everything,68,10.0,0.0,0.0,0.75,['usermanual']
0,26,dont see anyone without healthcare none friend none family none neighbor zilch nada naught cipher dont go wandering around inner city looking halfcrazy wino crack addict either maybe thats,188,29.0,0.0,0.0,0.1666666666666666,[]
0,27,seems high priest global warming unconcerned reality past year gore home burned kilowatthours kwh electricity enough power average american household month,155,21.0,-0.04,-0.04,0.2816666666666667,[]
0,28,cant explain unreflective fertility abortion rate america polish fertility rate never increased referendum criminalized abortion prove criminalizing abortion ha ever decreased demand far haventonly provided empty rhetoric prolife movement thoroughly brainwashes supporter believe jibberish,289,34.0,-0.1333333333333333,-0.1333333333333333,0.7333333333333334,[]
0,29,proof think say mind terrible thing waste,41,7.0,-0.6,-0.6,0.5,[]
0,30,false valid definition atheism atheism lack theism belief god certainly said isnt tiger bathroom wouldnt need camera see called reasonable,138,20.0,0.0047619047619047,0.0047619047619047,0.5904761904761905,['tiger']
0,31,dont make space anymore theyll put cell pot grower crack addict hell lucky get spot floor sleep,95,17.0,0.3333333333333333,0.3333333333333333,0.8333333333333334,['space']
0,32,think fsm threw guy bone cherrypicked taxon would give statistically significant result expand method include taxon theyd see noodly appendage flying spaghetti monster ramen,173,24.0,0.375,0.375,0.875,['spaghetti monster ramen']
0,33,take understanding science much le scientific method,52,7.0,0.2,0.2,0.2,[]
0,34,well maybe could put little box check straw purchasermaybe psychic back room ask politely straw purchaser,105,16.0,-0.09375,-0.09375,0.25,['box']
0,35,another example using verse meant personal use applying war sorry doesnt work way,81,13.0,-0.25,-0.25,0.65,[]
0,36,think doesnt really know mean dont think heathen follow particular set belief though dont know many pagan,105,17.0,0.1385416666666666,0.1385416666666666,0.4302083333333333,[]
0,37,mean burn book er mean take nativity scene,42,8.0,-0.3125,-0.3125,0.6875,[]
0,38,supposedly ran thread one making assertion dont back one unwilling ie unable show arctic fox adapt phoenix summer one keep ignoring henceforth refer chihuahua challenge somebody claiming clearly right obviously vindicated evidence youve done nothing show youve done everything run,280,40.0,-0.0535714285714285,-0.0535714285714285,0.3839285714285714,[]
0,39,oh theyre trained deal irate exhusbands stabbing wife dousing gasoline broad daylight middle busy parking lot theyre trained deal specific kind every single day,160,24.0,0.0130102040816326,0.0130102040816326,0.3788265306122449,[]
0,40,lot black killed hanging rope vendor,36,6.0,-0.1833333333333333,-0.1833333333333333,0.2166666666666666,['rope']
0,41,instead place faith mythology nomadic herdsman much logical believe knowing unknowable magic poofed everything existance created evidence make appear didnt,155,20.0,0.375,0.375,0.625,[]
0,42,gun nut say f child decide saving gun childrens life,52,10.0,0.0,0.0,0.0,[]
0,43,well whatever case may baby ha full function nervous system feel pain whenever aborted doe disturb people always tend think oh mother going go pain bla bla bla baby tortured death cmon,184,32.0,0.35,0.35,0.55,['mother']
0,44,fact remains britain still four time dangerous america term crime rate arguing crime level acceptable youre alright many people helpless victim unable anything,159,23.0,-0.16875,-0.16875,0.4875,['britain']
0,45,nonsense name hole part conjecture part conjecture never ever taught high school biology class isnt time major point covered doubt,130,20.0,0.11125,0.11125,0.52,[]
0,46,everyone know marc wa right alongthat atheist science conspiracy,64,9.0,0.2857142857142857,0.2857142857142857,0.5357142857142857,['marc']
0,47,well ive personally measured gravitational pull ball lead cm diameter suggesting angel push planet around wa leading theory newton,130,19.0,0.0,0.0,0.3,[]
0,48,creationists informed far tell seems position informed creationists neodarwinists fully accepting theory evolution,114,13.0,0.1,0.1,1.0,['evolution']
0,49,oh business owner dont make real contribution society,53,8.0,0.2,0.2,0.3,['business']
0,50,truly amazing even someone like kh disprove evolution quickly,61,9.0,0.4666666666666667,0.4666666666666667,0.7,['evolution']
